"url","Image","Image_link","Itemcode number","Link 2","Link 2_link","Preis price"
"http://shop.lego.com/de-DE/catalog/productListing.jsp?_requestid=1664188","http://cache.lego.com/e/dynamic/is/image/LEGO/75098?$leaf$","http://shop.lego.com/de-DE/Assault-on-Hoth-75098;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","75098","Assault on Hoth™","http://shop.lego.com/de-DE/Assault-on-Hoth-75098;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","249,99 €"
"http://shop.lego.com/de-DE/catalog/productListing.jsp?_requestid=1664188","http://cache.lego.com/e/dynamic/is/image/LEGO/21128?$leaf$","http://shop.lego.com/de-DE/Das-Dorf-21128;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","21128","Das Dorf","http://shop.lego.com/de-DE/Das-Dorf-21128;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","199,99 €"
"http://shop.lego.com/de-DE/catalog/productListing.jsp?_requestid=1664188","http://cache.lego.com/e/dynamic/is/image/LEGO/60125?$leaf$","http://shop.lego.com/de-DE/Vulkan-Schwerlasthelikopter-60125;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","60125","Vulkan-Schwerlasthelikopter","http://shop.lego.com/de-DE/Vulkan-Schwerlasthelikopter-60125;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","129,99 €"
"http://shop.lego.com/de-DE/catalog/productListing.jsp?_requestid=1664188","http://cache.lego.com/e/dynamic/is/image/LEGO/75157?$leaf$","http://shop.lego.com/de-DE/Captain-Rex-s-AT-TE-75157;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","75157","Captain Rex's AT-TE™","http://shop.lego.com/de-DE/Captain-Rex-s-AT-TE-75157;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","129,99 €"
"http://shop.lego.com/de-DE/catalog/productListing.jsp?_requestid=1664188","http://cache.lego.com/e/dynamic/is/image/LEGO/70323?$leaf$","http://shop.lego.com/de-DE/Jestros-Vulkanfestung-70323;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","70323","Jestros Vulkanfestung","http://shop.lego.com/de-DE/Jestros-Vulkanfestung-70323;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","119,99 €"
"http://shop.lego.com/de-DE/catalog/productListing.jsp?_requestid=1664188","http://cache.lego.com/e/dynamic/is/image/LEGO/70596?$leaf$","http://shop.lego.com/de-DE/Samurai-X-Hohlenchaos-70596;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","70596","Samurai X Höhlenchaos","http://shop.lego.com/de-DE/Samurai-X-Hohlenchaos-70596;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","119,99 €"
"http://shop.lego.com/de-DE/catalog/productListing.jsp?_requestid=1664188","http://cache.lego.com/e/dynamic/is/image/LEGO/75151?$leaf$","http://shop.lego.com/de-DE/Clone-Turbo-Tank-75151;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","75151","Clone Turbo Tank™","http://shop.lego.com/de-DE/Clone-Turbo-Tank-75151;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","119,99 €"
"http://shop.lego.com/de-DE/catalog/productListing.jsp?_requestid=1664188","http://cache.lego.com/e/dynamic/is/image/LEGO/60104?$leaf$","http://shop.lego.com/de-DE/Flughafen-Abfertigungshalle-60104;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","60104","Flughafen-Abfertigungshalle","http://shop.lego.com/de-DE/Flughafen-Abfertigungshalle-60104;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","99,99 €"
"http://shop.lego.com/de-DE/catalog/productListing.jsp?_requestid=1664188","http://cache.lego.com/e/dynamic/is/image/LEGO/60124?$leaf$","http://shop.lego.com/de-DE/Vulkan-Forscherstation-60124;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","60124","Vulkan-Forscherstation","http://shop.lego.com/de-DE/Vulkan-Forscherstation-60124;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","99,99 €"
"http://shop.lego.com/de-DE/catalog/productListing.jsp?_requestid=1664188","http://cache.lego.com/e/dynamic/is/image/LEGO/75150?$leaf$","http://shop.lego.com/de-DE/Vader-s-TIE-Advanced-vs-A-Wing-Starfighter-75150;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","75150","Vader's TIE Advanced vs. A-Wing S…","http://shop.lego.com/de-DE/Vader-s-TIE-Advanced-vs-A-Wing-Starfighter-75150;jsessionid=FBE70B125DB3482587CE261DA9451AA7.lego-ps4?fromListing=listing","99,99 €"
